latitude,longitude,displacement (mm),coherence,elevation (m)
13.526,40.681,5.23,0.78,291.40
13.526,40.685,5.00,0.84,299.28
13.526,40.689,4.89,0.90,313.66
13.526,40.693,4.63,0.91,316.44
13.526,40.697,4.33,0.87,323.97
13.526,40.701,4.36,0.89,331.82
13.526,40.705,4.55,0.89,337.81
13.526,40.709,4.73,0.86,352.87
13.526,40.713,4.81,0.88,367.05
13.526,40.717,4.87,0.91,370.67
13.526,40.721,4.94,0.91,365.99
13.526,40.725,5.06,0.91,362.27
13.526,40.729,5.03,0.91,347.18
13.526,40.733,4.61,0.91,300.89
13.526,40.737,3.75,0.91,277.23
13.526,40.741,2.96,0.91,252.13
13.526,40.745,2.85,0.91,238.26
13.526,40.749,3.47,0.91,213.32
13.526,40.753,4.58,0.90,186.34
13.526,40.757,6.21,0.89,149.67
13.526,40.761,8.30,0.89,130.18
13.526,40.765,10.66,0.89,98.95
13.526,40.769,12.64,0.89,72.42
13.529,40.569,12.01,0.81,70.47
13.529,40.573,11.39,0.82,84.58
13.529,40.577,11.21,0.85,102.63
13.529,40.581,11.15,0.87,135.06
13.529,40.585,11.29,0.87,154.76
13.529,40.589,11.73,0.86,191.69
13.529,40.593,12.95,0.86,245.31
13.529,40.597,14.63,0.85,283.05
13.529,40.601,17.52,0.84,318.17
13.529,40.605,20.61,0.84,370.35
13.529,40.609,22.03,0.84,416.03
13.529,40.613,22.06,0.82,461.23
13.529,40.617,21.50,0.80,498.12
13.529,40.621,20.30,0.77,528.21
13.529,40.625,18.14,0.75,533.98
13.529,40.629,15.31,0.76,535.46
13.529,40.633,12.15,0.84,517.00
13.529,40.637,9.17,0.85,465.13
13.529,40.641,6.93,0.86,400.95
13.529,40.645,5.64,0.86,326.58
13.529,40.649,5.56,0.76,270.56
13.529,40.653,6.34,0.75,262.89
13.529,40.657,7.10,0.81,268.56
13.529,40.661,7.61,0.81,277.39
13.529,40.665,7.48,0.86,275.16
13.529,40.669,6.98,0.89,276.37
13.529,40.673,6.40,0.88,280.55
13.529,40.677,5.88,0.84,289.57
13.529,40.681,5.46,0.81,294.74
13.529,40.685,5.05,0.79,300.97
13.529,40.689,4.92,0.85,317.31
13.529,40.693,4.85,0.88,319.92
13.529,40.697,4.75,0.88,333.35
13.529,40.701,4.83,0.88,339.18
13.529,40.705,5.06,0.88,332.86
13.529,40.709,5.31,0.87,345.78
13.529,40.713,5.53,0.89,354.74
13.529,40.717,5.70,0.91,353.90
13.529,40.721,5.81,0.92,345.21
13.529,40.725,5.88,0.91,332.71
13.529,40.729,5.82,0.91,323.57
13.529,40.733,5.41,0.91,287.02
13.529,40.737,4.63,0.91,269.11
13.529,40.741,4.09,0.90,244.30
13.529,40.745,4.24,0.91,234.38
13.529,40.749,4.94,0.90,216.69
13.529,40.753,6.04,0.90,188.78
13.529,40.757,7.62,0.88,163.64
13.529,40.761,9.42,0.89,142.09
13.529,40.765,11.21,0.90,110.28
13.529,40.769,12.91,0.90,78.10
13.534,40.569,10.15,0.85,76.78
13.534,40.573,9.45,0.85,95.74
13.534,40.577,9.11,0.83,119.75
13.534,40.581,9.01,0.80,135.27
13.534,40.585,9.40,0.85,161.06
13.534,40.589,10.38,0.85,194.99
13.534,40.593,11.70,0.85,229.21
13.534,40.597,13.23,0.83,275.74
13.534,40.601,15.54,0.82,315.33
13.534,40.605,18.10,0.82,344.27
13.534,40.609,19.23,0.84,382.20
13.534,40.613,19.41,0.83,418.80
13.534,40.617,18.62,0.81,411.82
13.534,40.621,17.60,0.82,421.94
13.534,40.625,15.90,0.82,431.97
13.534,40.629,14.29,0.83,399.90
13.534,40.633,12.02,0.86,390.97
13.534,40.637,9.69,0.86,354.20
13.534,40.641,7.57,0.87,304.96
13.534,40.645,6.35,0.68,265.38
13.534,40.649,6.28,0.68,262.32
13.534,40.653,6.41,0.80,265.39
13.534,40.657,6.53,0.80,271.01
13.534,40.661,6.67,0.80,279.06
